path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\13 - PThread Mutexes.srt.res ,0.007240854,0.015253636,0,5,0,0.663129973,3.49,96.51,1.84,98.16
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\14 - PThread Condition Variables.srt.res ,0.034852547,0.015996445,10,1,1.821493625,0.182149362,5.31,94.69,2.88,97.12
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\15 - Producer and Consumer Example Part 1.srt.res ,0.00733945,0.033653846,1,13,0.222222222,2.888888889,2.75,97.25,2.82,97.18
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\16 - Producer and Consumer Example Part 2.srt.res ,0.045765387,0.021052632,0,17,0,2.591463415,2.58,97.42,2.61,97.39
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\17 - Producer and Consumer Example Part 3.srt.res ,0.008452192,0.003255057,0,1,0,0.157728707,5,95,2.63,97.37
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\18 - Lesson Summary.srt.res ,0.005176877,0.04784689,0,16,0,22.85714286,23.3,76.7,23.98,76.02
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\19 - Lesson Review.srt.res ,0.884848485,0.844444444,10,0,33.33333333,0,16.67,83.33,24.4,75.6
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\01 - Lesson Preview.srt.res ,0.074605452,0.137513751,1,0,0.555555556,0,22.32,77.68,7.66,92.34
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\02 - Kernel vs User Level Threads.srt.res ,0.074807481,0.034659315,0,40,0,16.32653061,7.26,92.74,10.74,89.26
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\03 - Thread Data Structures Single CPU.srt.res ,0.034413766,0.148581998,1,33,0.263157895,8.684210526,3.52,96.48,5.58,94.42
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\04 - Thread Data Structures At Scale.srt.res ,0.029041626,0.009269162,0,22,0,6.811145511,8.5,91.5,5.1,94.9
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\05 - Hard and Light Process State.srt.res ,0.00969697,0.128337237,0,61,0,27.47747748,15.33,84.67,10.32,89.68
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\06 - Rationale for Data Structures.srt.res ,0.003717472,0.034471952,0,11,0,2.813299233,8.74,91.26,6.63,93.37
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\07 - Thread Structures Quiz.srt.res ,0.015625,0.099541585,0,54,0,41.53846154,22.58,77.42,25.85,74.15
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L4_ Thread Design Considerations\08 - Thread Structures Quiz.srt.res ,0.011220196,0.037947997,1,2,0.862068966,1.724137931,4.99,95.01,28.25,71.75
